an'niu 按钮
an'pai 安排
an'quan 安全
an'zhao 按照
an'zhuang 安装
ban'ben 版本
ban'fa 办法
bang'mang 帮忙
bao'cun 保存
bao'gao 报告
bao'hu 保护
bao'kuo 包括
bao'xiao 报销
bei'jing 背景
bi'jiao 比较
bi'mian 避免
bi'ru 比如
bi'sai 比赛
bi'ye 毕业
bian'ji 编辑
bian'liang 变量
biao'ge 表格
biao'zhun 标准
bie'ren 别人
bu'dao 不到
bu'fen 部分
bu'guo 不过
bu'ju 布局
bu'shu 部署
bu'tong 不同
bu'zhou 步骤
cai'dan 菜单
cai'liao 材料
can'guan 参观
can'jia 参加
can'shu 参数
can'ting 餐厅
ce'lve 策略
ce'shi 测试
chan'pin 产品
chang'liang 常量
chao'shi 潮湿
chao'shi 超市
cheng'ben 成本
cheng'du 程度
cheng'gong 成功
cheng'xu 程序
chi'fan 吃饭
chong'fen 充分
chou'xiang 抽象
chu'chai 出差
chu'fa 出发
chu'le 除了
chu'li 处理
chu'qu 出去
ci'wai 此外
cong'lai 从来
cun'chu 存储
cuo'shi 措施
cuo'wu 错误
da'an 答案
da'gai 大概
da'jia 大家
da'kai 打开
da'liang 大量
da'suan 打算
dai'ma 代码
dan'shi 但是
dao'chu 导出
dao'da 到达
dao'hang 导航
dao'qian 道歉
dao'ru 导入
di'fang 地方
di'tie 地铁
di'zhi 地址
dian'hua 电话
dian'nao 电脑
dian'ying 电影
dian'zan 点赞
ding'yue 订阅
dong'hua 动画
dong'li 动力
dong'xi 东西
du'che 堵车
du'chu 读出
duan'lian 锻炼
dui'lie 队列
dui'mian 对面
dui'yu 对于
er'qie 而且
fa'bu 发布
fa'shao 发烧
fan'hui 返回
fan'kui 反馈
fan'wei 范围
fang'an 方案
fang'bian 方便
fang'fa 方法
fang'mian 方面
fang'shi 方式
fang'song 放松
fang'xiang 方向
fang'zhi 防止
fen'xi 分析
fen'xiang 分享
feng'xian 风险
fu'jin 附近
fu'li 福利
fu'mu 父母
fu'wu 服务
fu'xi 复习
fu'za 复杂
fu'ze 负责
fu'zhi 复制
gai'jin 改进
gan'jue 感觉
gan'mao 感冒
gan'xie 感谢
gan'zao 干燥
gang'cai 刚才
gao'tie 高铁
gao'xiao 高效
ge'shi 格式
gen'ju 根据
geng'xin 更新
gong'jiao 公交
gong'ju 工具
gong'neng 功能
gong'yuan 公园
gong'zi 工资
gua'feng 刮风
guan'bi 关闭
guan'dian 观点
guan'jian 关键
guan'li 管理
guan'xi 关系
guan'yu 关于
guan'zhu 关注
gui'ding 规定
gui'fan 规范
gui'lv 规律
gui'mo 规模
gui'ze 规则
guo'lai 过来
guo'lv 过滤
guo'qu 过去
hai'shi 还是
hai'zi 孩子
han'shu 函数
hang'ban 航班
he'shui 喝水
he'tong 合同
he'xin 核心
huan'cun 缓存
huan'jie 环节
huan'jing 环境
huan'ying 欢迎
hui'bao 汇报
hui'jia 回家
hui'lai 回来
hui'yi 会议
hui'yuan 会员
huo'dong 活动
huo'zhe 或者
ji'ben 基本
ji'cheng 集成
ji'chu 基础
ji'fen 积分
ji'hu 几乎
ji'hua 计划
ji'hui 机会
ji'lu 记录
ji'shi 即使
ji'shu 技术
ji'xu 继续
jia'ban 加班
jia'ge 价格
jia'gou 架构
jia'qi 假期
jia'ren 家人
jian'cha 检查
jian'dan 简单
jian'jian 渐渐
jian'jie 简洁
jian'ming 简明
jian'pan 键盘
jian'rong 兼容
jian'shao 减少
jian'shen 健身
jian'yi 建议
jiang'di 降低
jiang'jin 奖金
jiao'yu 教育
jie'gou 结构
jie'guo 结果
jie'jin 接近
jie'jue 解决
jie'kou 接口
jie'mian 界面
jie'shou 接受
jie'shu 结束
jie'zhe 接着
jin'cheng 进程
jin'guan 尽管
jin'lai 进来
jin'qu 进去
jin'tian 今天
jin'zhang 紧张
jing'chang 经常
jing'jian 精简
jing'lian 精炼
jing'yan 经验
jiu'dian 酒店
ju'jue 拒绝
ju'ti 具体
jue'de 觉得
jue'ding 决定
kai'hui 开会
kai'shi 开始
kai'xin 开心
kan'chu 看出
kao'lv 考虑
kao'shi 考试
ke'hu 客户
ke'kao 可靠
ke'sou 咳嗽
kuai'jie 快捷
kuai'su 快速
kuang'jia 框架
kun'nan 困难
lao'shi 老师
li'ji 立即
li'ke 立刻
li'mian 里面
li'ru 例如
li'run 利润
lian'xi 练习
lian'xi 联系
lie'biao 列表
ling'dao 领导
ling'wai 另外
liu'cheng 流程
lu'jing 路径
luo'ji 逻辑
lv'you 旅游
ma'shang 马上
man'man 慢慢
mei'le 没了
mi'ma 密码
ming'bai 明白
ming'que 明确
ming'tian 明天
mo'kuai 模块
mu'biao 目标
mu'lu 目录
na'chu 拿出
na'dao 拿到
na'lai 拿来
nan'guo 难过
nei'cun 内存
nei'rong 内容
neng'li 能力
nv'shi 女士
ou'er 偶尔
pai'xu 排序
pang'bian 旁边
pei'xun 培训
pei'zhi 配置
peng'you 朋友
ping'gu 评估
ping'lun 评论
ping'mu 屏幕
ping'tai 平台
pu'tong 普通
qi'chuang 起床
qi'ci 其次
qi'guai 奇怪
qi'lai 起来
qing'chu 清楚
qing'kuang 情况
qing'qiu 请求
qing'xi 清晰
qing'xu 情绪
quan'bu 全部
quan'xian 权限
que'ren 确认
ran'er 然而
ran'hou 然后
ren'wei 认为
ren'wu 任务
ri'zhi 日志
rong'yi 容易
ru'guo 如果
ruan'jian 软件
shan'chu 删除
shang'ban 上班
shang'chang 商场
shang'chuan 上传
shang'lai 上来
shang'qu 上去
shao'liang 少量
she'bei 设备
shen'he 审核
shen'pi 审批
shen'qing 申请
sheng'ji 升级
sheng'qi 生气
shi'bai 失败
shi'hou 时候
shi'jian 时间
shi'pin 视频
shi'qing 事情
shou'cang 收藏
shou'ji 手机
